Label,EC,Type,StartingConc,Conc,Mechanisms,Parameters,Relative
C04181,,Metabolite,0.001,,,,v370
C14868,,Metabolite,0.001,,,,v371
C14099,,Metabolite,0.001,,,,v372
C00258,,Metabolite,0.001,,,,v373
C01212,,Metabolite,0.001,,,,v374
C00239,,Metabolite,0.001,,,,v375
C11638,,Metabolite,0.001,,,,v376
C00197,,Metabolite,1.5,,,,v377
C03373,,Metabolite,0.001,,,,v378
C00013,,Metabolite,0,,,,v379
C02430,,Metabolite,0.001,,,,v380
C02909,,Metabolite,0.001,,,,v381
C00119,,Metabolite,0.001,,,,v382
C03170,,Metabolite,0.001,,,,v383
C00085,,Metabolite,0.001,,,,v384
C00064,,Metabolite,0.001,,,,v385
C19935,,Metabolite,0.001,,,,v386
C01271,,Metabolite,0.001,,,,v387
C06059,,Metabolite,0.001,,,,v388
C04272,,Metabolite,0.001,,,,v389
C06188,,Metabolite,0.001,,,,v390
C05625,,Metabolite,0.001,,,,v391
C00268,,Metabolite,0.001,,,,v392
C06397,,Metabolite,0.001,,,,v393
C00665,,Metabolite,0.001,,,,v394
C03798,,Metabolite,0.001,,,,v395
C00003,,Metabolite,0.001,,,,v396
C00209,,Metabolite,0.001,,,,v397
C00354,,Metabolite,15,,,,v398
C00055,,Metabolite,0.001,,,,v399
C14863,,Metabolite,0.001,,,,v400
C00365,,Metabolite,0.001,,,,v401
C01640,,Metabolite,0.001,,,,v402
C00645,,Metabolite,0.001,,,,v403
C00100,,Metabolite,0.001,,,,v404
C00530,,Metabolite,0.001,,,,v405
C00201,,Metabolite,0.001,,,,v406
C05983,,Metabolite,0.001,,,,v407
C00267,,Metabolite,0.001,,,,v408
C04160,,Metabolite,0.001,,,,v409
C05359,,Metabolite,0.001,,,,v410
C01217,,Metabolite,0.001,,,,v411
C16698,,Metabolite,0.001,,,,v412
C00685,,Metabolite,0.001,,,,v413
C03150,,Metabolite,0.001,,,,v414
C05946,,Metabolite,0.001,,,,v415
C00024,,Metabolite,0.61,,,,v416
C06481,,Metabolite,0.001,,,,v417
C05223,,Metabolite,0.001,,,,v418
C15585,,Metabolite,0.001,,,,v419
C00606,,Metabolite,0.001,,,,v420
C00288,,Metabolite,0.001,,,,v421
C00170,,Metabolite,0.001,,,,v422
C01639,,Metabolite,0.001,,,,v423
C04916,,Metabolite,0.001,,,,v424
C00492,,Metabolite,0.001,,,,v425
C05744,,Metabolite,0.001,,,,v426
C00214,,Metabolite,0.001,,,,v427
C06232,,Metabolite,0.001,,,,v428
C00031,,Metabolite,0.001,,,,v429
C01644,,Metabolite,0.001,,,,v430
C01180,,Metabolite,0.001,,,,v431
C00036,,Metabolite,0,,,,v432
C00972,,Metabolite,0.001,,,,v433
C14857,,Metabolite,0.001,,,,v434
C03735,,Metabolite,0.001,,,,v435
C00826,,Metabolite,0.001,,,,v436
C04631,,Metabolite,0.001,,,,v437
C00135,,Metabolite,0.001,,,,v438
C00116,,Metabolite,0.001,,,,v439
C00900,,Metabolite,0.001,,,,v440
C02380,,Metabolite,0.001,,,,v441
C00327,,Metabolite,0.001,,,,v442
C01931,,Metabolite,0.001,,,,v443
C01050,,Metabolite,0.001,,,,v444
C04751,,Metabolite,0.001,,,,v445
C00577,,Metabolite,0.001,,,,v446
C00441,,Metabolite,0.001,,,,v447
C01798,,Metabolite,0.001,,,,v448
C14180,,Metabolite,0.001,,,,v449
C04153,,Metabolite,0.001,,,,v450
C00361,,Metabolite,0.001,,,,v451
C00262,,Metabolite,0.001,,,,v452
C05796,,Metabolite,0.001,,,,v453
C16596,,Metabolite,0.001,,,,v454
C16255,,Metabolite,0.001,,,,v455
C06193,,Metabolite,0.001,,,,v456
C02086,,Metabolite,0.001,,,,v457
C11824,,Metabolite,0.001,,,,v458
C04677,,Metabolite,0.001,,,,v459
C04462,,Metabolite,0.001,,,,v460
C05403,,Metabolite,0.001,,,,v461
C05527,,Metabolite,0.001,,,,v462
C00284,,Metabolite,0.001,,,,v463
C00451,,Metabolite,0,,,,v464
C05745,,Metabolite,0.001,,,,v465
C06102,,Metabolite,0.001,,,,v466
C04332,,Metabolite,0.001,,,,v467
C00315,,Metabolite,0.001,,,,v468
C00407,,Metabolite,0.001,,,,v469
C16618,,Metabolite,0.001,,,,v470
C00049,,Metabolite,0.001,,,,v471
C04039,,Metabolite,0.001,,,,v472
C01326,,Metabolite,0.001,,,,v473
C05824,,Metabolite,0.001,,,,v474
C00169,,Metabolite,0.001,,,,v475
C00647,,Metabolite,0.001,,,,v476
C20679,,Metabolite,0.001,,,,v477
C05729,,Metabolite,0.001,,,,v478
C00065,,Metabolite,0.001,,,,v479
C00979,,Metabolite,0.001,,,,v480
C03899,,Metabolite,0.001,,,,v481
C01345,,Metabolite,0.001,,,,v482
C01179,,Metabolite,0.001,,,,v483
C00041,,Metabolite,0.001,,,,v484
C04734,,Metabolite,0.001,,,,v485
C00033,,Metabolite,0.001,,,,v486
C04702,,Metabolite,0.001,,,,v487
C01652,,Metabolite,0.001,,,,v488
C12214,,Metabolite,0.001,,,,v489
C05401,,Metabolite,0.001,,,,v490
C00071,,Metabolite,0.001,,,,v491
C05761,,Metabolite,0.001,,,,v492
C00185,,Metabolite,0.001,,,,v493
C01327,,Metabolite,0.001,,,,v494
C00857,,Metabolite,0.001,,,,v495
C00661,,Metabolite,0,,,,v496
C03023,,Metabolite,0.001,,,,v497
C16565,,Metabolite,0.001,,,,v498
C01653,,Metabolite,0.001,,,,v499
C00018,,Metabolite,0.001,,,,v500
C15811,,Metabolite,0.001,,,,v501
C01636,,Metabolite,0.001,,,,v502
C00750,,Metabolite,0.001,,,,v503
C13563,,Metabolite,0.001,,,,v504
C06312,,Metabolite,0.001,,,,v505
C03125,,Metabolite,0.001,,,,v506
C00227,,Metabolite,1.1,,,,v507
C03523,,Metabolite,0.001,,,,v508
C14818,,Metabolite,0.001,,,,v509
C03794,,Metabolite,0.001,,,,v510
C04896,,Metabolite,0.001,,,,v511
C00718,,Metabolite,0.001,,,,v512
C00067,,Metabolite,0.001,,,,v513
C00121,,Metabolite,0.001,,,,v514
C00689,,Metabolite,0.001,,,,v515
C00066,,Metabolite,0.001,,,,v516
C02354,,Metabolite,0.001,,,,v517
C01401,,Metabolite,0.001,,,,v518
C06187,,Metabolite,0.001,,,,v519
C05752,,Metabolite,0.001,,,,v520
