,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI,Keq
230,WP_000301651.1,1.1.1.1,Escherichia coli,R231,Alcohol dehydrogenase,R07326,MRL,C00003; C00069,C00004; C00071; C00080,Km_C00004: 0.040233176; Km_C00071: 0.236646544; Km_C00080: 0.569533765; Km_C00003: 0.100172691; Km_C00069: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
231,WP_000301651.1,1.1.1.1,Escherichia coli,R232,Alcohol dehydrogenase,R00623,MRL,C00003; C00226,C00004; C00071; C00080,Km_C00004: 0.040233176; Km_C00071: 0.236646544; Km_C00080: 0.569533765; Km_C00003: 0.100172691; Km_C00226: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
234,WP_000301651.1,1.1.1.1,Escherichia coli,R235,Alcohol dehydrogenase,R04805,MRL,C00003; C05444,C00004; C00080; C05445,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C05445: 0.028241014; Km_C00003: 0.100172691; Km_C05444: 0.030596022,Kcat_F: 17.77958661; Kcat_R: 24.698335655,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 0.0008153109936978103
238,WP_000301651.1,1.1.1.1,Escherichia coli,R239,Alcohol dehydrogenase,R06917,MRL,C00003; C14089,C00004; C00080; C14090,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C14090: 0.236646544; Km_C00003: 0.100172691; Km_C14089: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 0.0008153109936978827
239,WP_000301651.1,1.1.1.1,Escherichia coli,R240,Alcohol dehydrogenase,R06927,MRL,C00003; C02909,C00004; C00080; C14099,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C14099: 0.182975103; Km_C00003: 0.100172691; Km_C02909: 0.02196078,Kcat_F: 14.0552314595; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 0.0008153109936978827
240,WP_000301651.1,1.1.1.1,Escherichia coli,R241,Alcohol dehydrogenase,R08281,MRL,C00004; C00080; C07645,C00003; C16551,Km_C00003: 0.100172691; Km_C16551: 0.18916721075; Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C07645: 0.046729211,Kcat_F: 15.2811091625; Kcat_R: 19.69812441,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
241,WP_000301651.1,1.1.1.1,Escherichia coli,R242,Alcohol dehydrogenase,R08306,MRL,C00003; C16586,C00004; C00080; C16587,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C16587: 0.236646544; Km_C00003: 0.100172691; Km_C16586: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 0.0008153423078416073
244,WP_000301651.1,1.1.1.1,Escherichia coli,R245,Alcohol dehydrogenase,R07327,MRL,C00003; C00069,C00004; C00080; C01450,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C01450: 0.236646544; Km_C00003: 0.100172691; Km_C00069: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
245,WP_000301651.1,1.1.1.1,Escherichia coli,R246,Alcohol dehydrogenase,R00624,MRL,C00003; C01612,C00004; C00080; C01450,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C01450: 0.236646544; Km_C00003: 0.100172691; Km_C01612: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
246,WP_000301651.1,1.1.1.1,Escherichia coli,R247,Alcohol dehydrogenase,R08310,MRL,C00003; C16595,C00004; C00080; C16596,Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C16596: 0.236646544; Km_C00003: 0.100172691; Km_C16595: 0.236646544,Kcat_F: 19.69812441; Kcat_R: 29.55534931,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 306459914.49596673
247,WP_000301651.1,1.1.1.1,Escherichia coli,R248,Alcohol dehydrogenase,R07105,MRL,C00004; C00080; C06899,C00001; C00003; C07490,Km_C00001: 0.799757719; Km_C00003: 0.100172691; Km_C07490: 0.422074109; Km_C00004: 0.040233176; Km_C00080: 0.569533765; Km_C06899: 0.325467169,Kcat_F: 16.374714708; Kcat_R: 9.602475729666667,C00006;C16596;C00003;C16348;C14099;C16551;C00001;C00473;C00226;C00576;C06899;C14089;C16595;C00114;C06611;C00084;C16587;C00071;C05444;C07645;C00376;C02909;C00069;C00469;C05577;C05445;C06612;C14090;C01450;C00004;C06613;C05576;C00005;C01612;C07490;C16586;C00080,C05577_KI: 0.031521235;C07490_KI: 0.422074109;C00005_KI: 0.027593218;C00469_KI: 1.817483544;C00114_KI: 0.409143209;C00080_KI: 0.569533765;C14090_KI: 0.3609184830434783;C16586_KI: 0.3609184830434783;C00226_KI: 0.3609184830434783;C00071_KI: 0.3609184830434783;C06613_KI: 0.273868203;C00576_KI: 0.884440184;C16595_KI: 0.3609184830434783;C05576_KI: 0.040941942;C00006_KI: 0.054585926;C06899_KI: 0.325467169;C00003_KI: 0.100172691;C14099_KI: 0.3609184830434783;C06612_KI: 0.501385033;C14089_KI: 0.3609184830434783;C00376_KI: 0.013742472;C16587_KI: 0.3609184830434783;C06611_KI: 0.501385033;C00084_KI: 1.347845793;C00473_KI: 0.012423662;C05445_KI: 0.028241014;C01612_KI: 0.3609184830434783;C00001_KI: 0.799757719;C00004_KI: 0.040233176;C07645_KI: 0.046729211;C02909_KI: 0.02196078;C16551_KI: 0.3609184830434783;C16596_KI: 0.3609184830434783;C01450_KI: 0.3609184830434783;C05444_KI: 0.030596022;C00069_KI: 0.3609184830434783;C16348_KI: 0.3609184830434783,Keq: 1
249,WP_000781063.1,4.2.3.1,Escherichia coli,R250,Threonine synthase,R05086,MRL,C00001; C06055,C00009; C06056,Km_C00009: 1.868194342; Km_C06056: 1.288261533; Km_C00001: 1.819163442; Km_C06055: 0.401372015,Kcat_F: 3.583730685; Kcat_R: 0.9565692975000001,C06055;C00001;C06056;C01102;C00188;C00009,C00001_KI: 1.819163442;C06055_KI: 0.401372015;C01102_KI: 0.503023028;C00009_KI: 1.868194342;C06056_KI: 1.288261533;C00188_KI: 0.748228312,Keq: 394.0986821009111
250,WP_001319167.1,3.2.1.86,Escherichia coli,R251,6-phospho-beta-glucosidase,R00839,MRL,C00001; C04534,C00031; C00092,Km_C00031: 11.69155884; Km_C00092: 2.152008057; Km_C00001: 4.800985813; Km_C04534: 1.367322803,Kcat_F: 2.239574308; Kcat_R: 2.5617307365,C00530;C04534;C02323;C01172;C00001;C00092;C00031;C06188;C06187,C04534_KI: 1.367322803;C06187_KI: 0.264245123;C00530_KI: 0.123504587;C00031_KI: 11.69155884;C00001_KI: 4.800985813;C02323_KI: 0.160274401;C00092_KI: 2.152008057;C01172_KI: 2.152008057;C06188_KI: 0.247454509,Keq: 3807.2513172268464
251,WP_001319167.1,3.2.1.86,Escherichia coli,R252,6-phospho-beta-glucosidase,R05133,MRL,C00001; C06187,C00530; C01172,Km_C00530: 0.123504587; Km_C01172: 2.152008057; Km_C00001: 4.800985813; Km_C06187: 0.18,Kcat_F: 1.5830939615; Kcat_R: 1.3236567365,C00530;C04534;C02323;C01172;C00001;C00092;C00031;C06188;C06187,C04534_KI: 1.367322803;C06187_KI: 0.264245123;C00530_KI: 0.123504587;C00031_KI: 11.69155884;C00001_KI: 4.800985813;C02323_KI: 0.160274401;C00092_KI: 2.152008057;C01172_KI: 2.152008057;C06188_KI: 0.247454509,Keq: 2.0772729905892712e-05
252,WP_001319167.1,3.2.1.86,Escherichia coli,R253,6-phospho-beta-glucosidase,R05134,MRL,C00001; C06188,C01172; C02323,Km_C01172: 2.152008057; Km_C02323: 0.160274401; Km_C00001: 4.800985813; Km_C06188: 0.475,Kcat_F: 1.839386164; Kcat_R: 1.896192993,C00530;C04534;C02323;C01172;C00001;C00092;C00031;C06188;C06187,C04534_KI: 1.367322803;C06187_KI: 0.264245123;C00530_KI: 0.123504587;C00031_KI: 11.69155884;C00001_KI: 4.800985813;C02323_KI: 0.160274401;C00092_KI: 2.152008057;C01172_KI: 2.152008057;C06188_KI: 0.247454509,Keq: 2.1351360226543543e-05
254,WP_001043882.1,1.8.4.14,Escherichia coli,R255,L-methionine (r)-s-oxide reductase,R07608,MRL,C00001; C00073; C00343,C00342; C15998,Km_C00342: 0.0098; Km_C15998: 3.9; Km_C00001: 1.826364756; Km_C00073: 1.166482568; Km_C00343: 1.725661831,Kcat_F: 4.9679826045; Kcat_R: 6.9,C00343;C00342;C00001;C15998;C00073;C02989,C00001_KI: 1.826364756;C02989_KI: 1.181917906;C00343_KI: 1.39158841;C15998_KI: 1.39158841;C00073_KI: 1.166482568;C00342_KI: 1.39158841,Keq: 1
256,WP_000486988.1,2.6.1.57,Escherichia coli,R257,Aromatic-amino-acid transaminase,R03120,MRL,C00026; C01021,C00025; C00972,Km_C00025: 2.838407993; Km_C00972: 2.0125373298333336; Km_C00026: 1.1866666666666668; Km_C01021: 2.0125373298333336,Kcat_F: 278.0; Kcat_R: 198.3282379,C00025;C00972;C01179;C00082;C00826;C00166;C01180;C00079;C00026;C00036;C01021;C00254;C00049;C00073,C01180_KI: 1.284476519;C00073_KI: 1.71113801;C00036_KI: 0.433308303;C00972_KI: 0.9302305559166667;C00049_KI: 2.391444206;C00254_KI: 0.201490313;C01021_KI: 0.9302305559166667;C01179_KI: 0.110603712;C00079_KI: 0.317666709;C00166_KI: 0.129698142;C00026_KI: 1.154019117;C00025_KI: 2.838407993;C00082_KI: 0.2436997;C00826_KI: 0.346813947,Keq: 1
261,WP_000042632.1,2.8.1.8,Escherichia coli,R262,Lipoyl synthase,R07767,MRL,C00019; C16236; C17023,C00073; C05198; C16237,Km_C00073: 0.423570335; Km_C05198: 0.014558306; Km_C16237: 0.009078398; Km_C00019: 0.010436235; Km_C16236: 0.014390675; Km_C17023: 0.09440678980000002,Kcat_F: 3.7484935925; Kcat_R: 5.799854642,C00019;C16236;C17023;C05198;C16239;C00073;C05752;C16237,C00073_KI: 0.423570335;C16236_KI: 0.014390675;C00019_KI: 0.010436235;C16239_KI: 0.007942635;C05752_KI: 0.07999609733333334;C05198_KI: 0.014558306;C16237_KI: 0.009078398;C17023_KI: 0.07999609733333334,Keq: 1
262,WP_000042632.1,2.8.1.8,Escherichia coli,R263,Lipoyl synthase,R07768,MRL,C00019; C05752; C17023,C00073; C05198; C16239,Km_C00073: 0.423570335; Km_C05198: 0.014558306; Km_C16239: 0.007942635; Km_C00019: 0.010436235; Km_C05752: 0.11412687775000001; Km_C17023: 0.11412687775000001,Kcat_F: 4.498503165; Kcat_R: 6.179436075,C00019;C16236;C17023;C05198;C16239;C00073;C05752;C16237,C00073_KI: 0.423570335;C16236_KI: 0.014390675;C00019_KI: 0.010436235;C16239_KI: 0.007942635;C05752_KI: 0.07999609733333334;C05198_KI: 0.014558306;C16237_KI: 0.009078398;C17023_KI: 0.07999609733333334,Keq: 1
264,WP_000842100.1,1.1.1.284,Escherichia coli,R265,S-(hydroxymethyl)glutathione dehydrogenase,R07140,MRL,C00006; C14180,C00005; C00080; C01031,Km_C00005: 0.018521626; Km_C00080: 1.122980118; Km_C01031: 0.091243312; Km_C00006: 0.045525763; Km_C14180: 0.094,Kcat_F: 93.198143625; Kcat_R: 54.522086945,C00006;C14180;C00003;C01031;C00004;C00005;C00080,C00004_KI: 0.030445978;C00006_KI: 0.045525763;C01031_KI: 0.091243312;C00003_KI: 0.050787397;C14180_KI: 0.22658403233333335;C00080_KI: 1.122980118;C00005_KI: 0.018521626,Keq: 476736.88311806857
267,WP_001044366.1,3.1.3.10,Escherichia coli,R268,Glucose-1-phosphatase,R00304,MRL,C00001; C00103,C00009; C00031,Km_C00009: 0.974477589; Km_C00031: 1.199357629; Km_C00001: 0.972812712; Km_C00103: 0.445,Kcat_F: 61.0880376345; Kcat_R: 4.353411557,C00001;C00031;C00267;C00103;C00009,C00103_KI: 0.362336993;C00001_KI: 0.972812712;C00031_KI: 1.199357629;C00009_KI: 0.974477589;C00267_KI: 1.199357629,Keq: 815.2999922439243
268,WP_001044366.1,3.1.3.10,Escherichia coli,R269,Glucose-1-phosphatase,R00947,MRL,C00001; C00103,C00009; C00267,Km_C00009: 0.974477589; Km_C00267: 1.199357629; Km_C00001: 0.972812712; Km_C00103: 0.445,Kcat_F: 61.0880376345; Kcat_R: 4.353411557,C00001;C00031;C00267;C00103;C00009,C00103_KI: 0.362336993;C00001_KI: 0.972812712;C00031_KI: 1.199357629;C00009_KI: 0.974477589;C00267_KI: 1.199357629,Keq: 418.9606523023835
276,WP_000805449.1,2.1.2.11,Escherichia coli,R277,3-methyl-2-oxobutanoate hydroxymethyltransferase,R01216,MRL,C00966,C00067; C00141,Km_C00067: 5.183048725; Km_C00141: 0.1; Km_C00966: 0.17,Kcat_F: 0.723871125; Kcat_R: 0.9580998199999999,C00966;C00101;C00001;C00067;C00143;C00141,C00067_KI: 5.183048725;C00001_KI: 7.029721737;C00143_KI: 0.129827544;C00101_KI: 0.11870598;C00966_KI: 0.45431608;C00141_KI: 0.560629904,Keq: 0.00045306709258923845
287,Heterologous,4.3.1.17,Dictyostelium discoideum,R288,L-serine ammonia-lyase,R06131,MRL,C05167,C00014; C00161,Km_C00014: 2.321814537; Km_C00161: 2.321814537; Km_C05167: 2.321814537,Kcat_F: 36.422624656829335; Kcat_R: 17.86179164,C05167;C00001;C00022;C00065;C00161;C02218;C00014,C00001_KI: 1.243283153;C00065_KI: 0.995956302;C05167_KI: 1.3902921916;C02218_KI: 1.603482008;C00022_KI: 0.786924958;C00161_KI: 1.3902921916;C00014_KI: 2.321814537,Keq: 1
